date,article.links,facebook.shares,
Jun-15,http://www.aftonbladet.se/nyheter/samhalle/article20927311.ab,479,
Jun-15,http://www.aftonbladet.se/nyheter/article20926566.ab,687,
Jun-15,http://www.aftonbladet.se/nyheter/article20925020.ab,1005,
Jun-15,http://www.aftonbladet.se/nyheter/article20925493.ab,300,
Jun-15,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article20935371.ab,5228,
Jun-15,http://www.aftonbladet.se/debatt/debattamnen/samhalle/article20929331.ab,10795,
Jun-15,http://www.aftonbladet.se/nyheter/article20932147.ab,549,
Jun-15,http://www.aftonbladet.se/nyheter/samhalle/article20943294.ab,4278,
Jun-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article20943181.ab,104,
Jun-15,http://www.aftonbladet.se/nyheter/samhalle/article20941590.ab,21773,
Jun-15,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article20940669.ab,26,
Jun-15,http://www.aftonbladet.se/nyheter/article20938377.ab,266,
Jun-15,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article20938531.ab,355,
Jun-15,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article20945073.ab,1014,
Jun-15,http://www.aftonbladet.se/nyheter/article20952190.ab,2283,
Jun-15,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article20951390.ab,51,
Jun-15,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article20966610.ab,1375,
Jun-15,http://www.aftonbladet.se/nyheter/article20964201.ab,698,
Jun-15,http://www.aftonbladet.se/nyheter/kolumnister/oisincantwell/article20969456.ab,243,
Jun-15,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article20978951.ab,4822,
Jun-15,http://bloggar.aftonbladet.se/filmbloggen/2015/06/han-ar-favoriten-att-ta-over-som-james-bond/,140,
Jun-15,http://www.aftonbladet.se/debatt/debattamnen/politik/article20975682.ab,122,
Jun-15,http://www.aftonbladet.se/nyheter/samhalle/article20974774.ab,91,
Jun-15,http://www.aftonbladet.se/kultur/article20972768.ab,86,
Jun-15,http://www.aftonbladet.se/nyheter/kolumnister/oisincantwell/article20984742.ab,104,
Jun-15,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article20982105.ab,6596,
Jun-15,http://www.aftonbladet.se/debatt/debattamnen/eu/article20981864.ab,189,
Jun-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article20979988.ab,239,
Jun-15,http://www.aftonbladet.se/debatt/debattamnen/politik/article20990437.ab,8300,
Jun-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article20999431.ab,1436,
Jun-15,http://www.aftonbladet.se/nyheter/article21004043.ab,545,
Jun-15,http://www.aftonbladet.se/nyheter/article21003396.ab,459,
Jun-15,http://www.aftonbladet.se/debatt/debattamnen/politik/article21012969.ab,1260,
Jun-15,http://www.aftonbladet.se/debatt/article21022836.ab,281,
Jun-15,http://www.aftonbladet.se/nyheter/article21028842.ab,28,
Jun-15,http://www.aftonbladet.se/nyheter/article21027669.ab,71,
Jun-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21026478.ab,28,
Jun-15,http://www.aftonbladet.se/nyheter/article21033295.ab,5575,
Jun-15,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article21033883.ab,31,
Jun-15,http://www.aftonbladet.se/nyheter/almedalen/article21039774.ab,1140,
Jun-15,http://www.aftonbladet.se/ledare/ledarkronika/katrinemarcal/article21037620.ab,669,
Jun-15,http://www.aftonbladet.se/nyheter/almedalen/article21046392.ab,414,
Jun-15,http://www.aftonbladet.se/nyheter/article21042099.ab,16,
