Date,Revenue,newdate
19-Jun-15,0,6/19/2015
20-Jun-15,1229.27,6/20/2015
21-Jun-15,2072.15,6/21/2015
22-Jun-15,4015.3,6/22/2015
23-Jun-15,4427.9,6/23/2015
24-Jun-15,11535.9,6/24/2015
25-Jun-15,3022.4,6/25/2015
26-Jun-15,5760.6,6/26/2015
27-Jun-15,2009.6,6/27/2015
28-Jun-15,1617.6,6/28/2015
29-Jun-15,7834.82,6/29/2015
30-Jun-15,1524.8,6/30/2015
1-Jul-15,2128,7/1/2015
2-Jul-15,1405.6,7/2/2015
3-Jul-15,2036.2,7/3/2015
4-Jul-15,471.2,7/4/2015
5-Jul-15,2890.9,7/5/2015
6-Jul-15,2223.2,7/6/2015
7-Jul-15,5350.25,7/7/2015
8-Jul-15,7258.52,7/8/2015
9-Jul-15,2402.4,7/9/2015
10-Jul-15,1152,7/10/2015
11-Jul-15,1265.6,7/11/2015
12-Jul-15,1042.4,7/12/2015
13-Jul-15,3744.8,7/13/2015
14-Jul-15,2385.16,7/14/2015
15-Jul-15,350.4,7/15/2015
16-Jul-15,1080.8,7/16/2015
17-Jul-15,8152.95,7/17/2015
18-Jul-15,1523.2,7/18/2015
19-Jul-15,720,7/19/2015
20-Jul-15,1295.2,7/20/2015
21-Jul-15,5293.65,7/21/2015
22-Jul-15,1484,7/22/2015
23-Jul-15,1165.6,7/23/2015
24-Jul-15,2422.1,7/24/2015
25-Jul-15,1506.8,7/25/2015
26-Jul-15,1572.96,7/26/2015
27-Jul-15,2184.8,7/27/2015
28-Jul-15,2252.64,7/28/2015
29-Jul-15,3351.55,7/29/2015
30-Jul-15,1940.8,7/30/2015
31-Jul-15,1526.4,7/31/2015
1-Aug-15,0,8/1/2015
2-Aug-15,316.8,8/2/2015
3-Aug-15,5467.9,8/3/2015
4-Aug-15,2175.2,8/4/2015
5-Aug-15,2341.84,8/5/2015
6-Aug-15,20697.65,8/6/2015
7-Aug-15,1226.4,8/7/2015
8-Aug-15,1053.6,8/8/2015
9-Aug-15,991.51,8/9/2015
10-Aug-15,8027.01,8/10/2015
11-Aug-15,1074.4,8/11/2015
12-Aug-15,2371.52,8/12/2015
13-Aug-15,759.2,8/13/2015
14-Aug-15,2052,8/14/2015
15-Aug-15,340,8/15/2015
16-Aug-15,1885.11,8/16/2015
17-Aug-15,16967.25,8/17/2015
18-Aug-15,23821.9,8/18/2015
19-Aug-15,10188.45,8/19/2015
20-Aug-15,5579.65,8/20/2015
21-Aug-15,3018.3,8/21/2015
22-Aug-15,225.6,8/22/2015
23-Aug-15,1292.8,8/23/2015
24-Aug-15,6366.9,8/24/2015
25-Aug-15,4841.07,8/25/2015
26-Aug-15,3686.4,8/26/2015
27-Aug-15,3289.75,8/27/2015
28-Aug-15,2443.2,8/28/2015
29-Aug-15,1306.4,8/29/2015
30-Aug-15,3158.4,8/30/2015
31-Aug-15,2478.4,8/31/2015
1-Sep-15,8986.84,9/1/2015
2-Sep-15,8592.98,9/2/2015
3-Sep-15,8750.93,9/3/2015
4-Sep-15,12453.09,9/4/2015
5-Sep-15,183.99,9/5/2015
6-Sep-15,2096.44,9/6/2015
7-Sep-15,2154.24,9/7/2015
8-Sep-15,19187.22,9/8/2015
9-Sep-15,610.4,9/9/2015
10-Sep-15,3498.38,9/10/2015
11-Sep-15,23189.12,9/11/2015
12-Sep-15,1869.6,9/12/2015
13-Sep-15,6626.25,9/13/2015
14-Sep-15,15044.51,9/14/2015
15-Sep-15,26135.28,9/15/2015
16-Sep-15,8491.85,9/16/2015
17-Sep-15,18099,9/17/2015
18-Sep-15,1166.4,9/18/2015
19-Sep-15,9272.5,9/19/2015
20-Sep-15,1303.2,9/20/2015
21-Sep-15,1558.18,9/21/2015
22-Sep-15,363.29,9/22/2015
23-Sep-15,1473.6,9/23/2015
24-Sep-15,4198.1,9/24/2015
25-Sep-15,1283.36,9/25/2015
26-Sep-15,8678.25,9/26/2015
