Date,bedTime,Day,secondsAsleep,timeAsleep
"April 8, 2016 ",01:24AM,6,16980,4.72
"April 8, 2016 ",11:59PM,6,22200,6.17
"April 9, 2016 ",01:02PM,7,4380,1.22
"April 10, 2016 ",12:34AM,1,19440,5.40
"April 10, 2016 ",10:34PM,1,26880,7.47
"April 12, 2016 ",10:29PM,3,30000,8.33
"April 13, 2016 ",11:24PM,4,23040,6.40
"April 14, 2016 ",10:54PM,5,23460,6.52
"April 15, 2016 ",11:36PM,6,22800,6.33
"April 16, 2016 ",06:42AM,7,12960,3.60
"April 17, 2016 ",12:00AM,1,16440,4.57
"April 18, 2016 ",12:00AM,2,23280,6.47
"April 19, 2016 ",12:00AM,3,23400,6.50
"April 19, 2016 ",11:13PM,3,23940,6.65
"April 20, 2016 ",11:22PM,4,24360,6.77
"April 21, 2016 ",11:34PM,5,23640,6.57
"April 22, 2016 ",10:06PM,6,26880,7.47
"April 23, 2016 ",12:28PM,7,6660,1.85
"April 23, 2016 ",11:54PM,7,24840,6.90
"April 26, 2016 ",11:43PM,3,23040,6.40
"April 27, 2016 ",11:35PM,4,20460,5.68
"April 28, 2016 ",11:00PM,5,27360,7.60
"April 29, 2016 ",11:27PM,6,24900,6.92
"April 30, 2016 ",11:59AM,7,6180,1.72
"April 30, 2016 ",11:12PM,7,25740,7.15
"May 1, 2016 ",10:30PM,1,27060,7.52
"May 2, 2016 ",10:27PM,2,28020,7.78
"May 3, 2016 ",01:23PM,3,3720,1.03
"May 3, 2016 ",11:02PM,3,23820,6.62
"May 4, 2016 ",11:54PM,4,19440,5.40
"May 5, 2016 ",11:23PM,5,24540,6.82
"May 7, 2016 ",12:02AM,7,23280,6.47
"May 7, 2016 ",01:48PM,7,6900,1.92
"May 8, 2016 ",12:05AM,1,23940,6.65
"May 8, 2016 ",11:31PM,1,23520,6.53
"May 11, 2016 ",12:34AM,4,20340,5.65
"May 12, 2016 ",12:43AM,5,18840,5.23
"May 12, 2016 ",11:00PM,5,28680,7.97
"May 13, 2016 ",12:32PM,6,7140,1.98
"May 13, 2016 ",11:52PM,6,19980,5.55
"May 14, 2016 ",11:37AM,7,7080,1.97
"May 14, 2016 ",11:58PM,7,28260,7.85
"May 15, 2016 ",11:25PM,1,24060,6.68
"May 16, 2016 ",11:23PM,2,18000,5.00
"May 17, 2016 ",09:23AM,3,8580,2.38
"May 17, 2016 ",11:31PM,3,25800,7.17
"May 18, 2016 ",10:29PM,4,26700,7.42
"May 19, 2016 ",10:45PM,5,24780,6.88
"May 20, 2016 ",11:20PM,6,28260,7.85
"May 22, 2016 ",12:41AM,1,23700,6.58
"May 22, 2016 ",10:17PM,1,27300,7.58
"May 23, 2016 ",10:06PM,2,25920,7.20
"May 25, 2016 ",11:49PM,4,22560,6.27
"May 26, 2016 ",11:15PM,5,24900,6.92
"May 27, 2016 ",11:35PM,6,28320,7.87
"May 28, 2016 ",11:25PM,7,26520,7.37
"May 31, 2016 ",12:10AM,3,24420,6.78
"May 31, 2016 ",11:45PM,3,24120,6.70
"June 1, 2016 ",11:35PM,4,27120,7.53
"June 2, 2016 ",11:59PM,5,25980,7.22
"June 3, 2016 ",02:06PM,6,7320,2.03
"June 3, 2016 ",11:10PM,6,28740,7.98
"June 5, 2016 ",12:56AM,1,21900,6.08
"June 6, 2016 ",12:14AM,2,18720,5.20
"June 6, 2016 ",10:38PM,2,17100,4.75
"June 7, 2016 ",09:57PM,3,23040,6.40
"June 8, 2016 ",10:05PM,4,28500,7.92
"June 9, 2016 ",11:53PM,5,21660,6.02
